,Unnamed: 0,text,tweet_coord,tweet_created,tweet_location,negative,positive,neutral,compound,lemmatized,clean,blob_polarity,blob_subjectivity,keywords,latitude,longitude,longtitude
10,16, I did start a claim but 810 weeks is unrealistic am I really supposed to go that long with out a car seat for my childRidiculous,,2015-02-24 11:05:21 -0800,,0.0,0.0,1.0,0.0,"['start', 'claim', 'week', 'unrealistic', 'really', 'supposed', 'go', 'long', 'car', 'seat', 'childridiculous']",start claim week unrealistic really supposed go long car seat childridiculous,-0.11666666666666665,0.5333333333333333, refund,,,0.0
11,19, if the car seat is lost  should just reimburse me for a new one this is not a pair of shoes its a necessity for my child,,2015-02-24 11:03:37 -0800,,0.091,0.0,0.909,-0.3182,"['car', 'seat', 'lost', 'reimburse', 'new', 'one', 'pair', 'shoe', 'necessity', 'child']",car seat lost reimburse new one pair shoe necessity child,0.13636363636363635,0.4545454545454545, refund loyalty_program,,,0.0
12,27, Do I need to use a Chase United Club pass for my 8yr old son or can he come in with me on my pass,,2015-02-24 10:44:44 -0800,South Carolina,0.0,0.113,0.887,0.4215,"['need', 'use', 'chase', 'club', 'pas', 'yr', 'old', 'son', 'come', 'pas']",need use chase club pas yr old son come pas,0.1,0.2, loyalty_program,33.6874388,-80.4363743,0.0
13,33, I sure did   I had to drive a total of 3 hours to get my own bag  Id like to explain that debacle but no one wants to talk to me,,2015-02-24 10:35:42 -0800,"Parkersburg, WV",0.09300000000000001,0.113,0.795,-0.1027,"['sure', 'drive', 'total', 'hour', 'get', 'bag', 'id', 'like', 'explain', 'debacle', 'one', 'want', 'talk']",sure drive total hour get bag id like explain debacle one want talk,0.25,0.8194444444444444, baggage,39.2699565,-81.5506916,0.0
14,34,  Gee thats like almost caring about ppl more than   Think Im more int in having a trusted adult w daughter ,,2015-02-24 10:33:54 -0800,,0.0,0.36200000000000004,0.638,0.818,"['gee', 'thats', 'like', 'almost', 'caring', 'ppl', 'think', 'int', 'trusted', 'adult', 'w', 'daughter']",gee thats like almost caring ppl think int trusted adult w daughter,0.1,0.3, loyalty_program,,,0.0
15,35, See We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr  After we boarded there was a defibrillator issue,,2015-02-24 10:30:53 -0800,,0.0,0.0,1.0,0.0,"['see', 'told', 'repeatedly', 'pilot', 'late', 'kept', 'getting', 'late', 'flightr', 'boarded', 'defibrillator', 'issue']",see told repeatedly pilot late kept getting late flightr boarded defibrillator issue,-0.3,0.6, staff delay,,,0.0
16,39, How does United refuse to reissue a 400 lost voucher when their plane didnt take off due to mechanics badcustomerservice,,2015-02-24 10:19:22 -0800,USA,0.193,0.12,0.687,-0.1779,"['refuse', 'reissue', 'lost', 'voucher', 'plane', 'didnt', 'take', 'due', 'mechanic', 'badcustomerservice']",refuse reissue lost voucher plane didnt take due mechanic badcustomerservice,-0.125,0.375, staff,39.7837304,-100.4458825,0.0
17,41, yes weve been with the agents for the last 50 minutes One of the agents have been very rude but thankfully Ladan has been nice,,2015-02-24 10:16:16 -0800,DC,0.065,0.294,0.64,0.8176,"['yes', 'weve', 'agent', 'last', 'minute', 'one', 'agent', 'rude', 'thankfully', 'ladan', 'nice']",yes weve agent last minute one agent rude thankfully ladan nice,0.1,0.5555555555555555, staff,38.89366125,-76.987883253882,0.0
18,43, Have clients with an 11 hr layover at IAH during the day Will they have to claim amp recheck luggage Or will it be taken care of,,2015-02-24 10:14:11 -0800,"Portland, OR",0.0,0.11,0.89,0.4939,"['client', 'hr', 'layover', 'iah', 'day', 'claim', 'recheck', 'luggage', 'taken', 'care']",client hr layover iah day claim recheck luggage taken care,0.0,0.0, baggage refund,45.5202471,-122.6741949,0.0
19,46, iah to charlotte Baggage claim rep latrice h customerservice non existent Ignored customer then inappropriately touched customer,,2015-02-24 10:11:38 -0800,"Houston, TX",0.133,0.0,0.867,-0.3182,"['iah', 'charlotte', 'baggage', 'claim', 'rep', 'latrice', 'h', 'customerservice', 'non', 'existent', 'ignored', 'customer', 'inappropriately', 'touched', 'customer']",iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer,0.0,0.0, staff baggage refund,29.7589382,-95.3676974,0.0
20,48,  thanks for your helpgot me what I need but its an issue with austrian  I guess I sit awhile longer,,2015-02-24 10:06:47 -0800,The Center of My Universe,0.0,0.109,0.8909999999999999,0.2382,"['thanks', 'helpgot', 'need', 'issue', 'austrian', 'guess', 'sit', 'awhile', 'longer']",thanks helpgot need issue austrian guess sit awhile longer,0.2,0.2, compliment,,,0.0
21,49,   I would have loved to respond to your website until I saw the really long form In business the new seats are bad,,2015-02-24 10:06:13 -0800,California/Nevada,0.133,0.14800000000000002,0.72,0.1027,"['would', 'loved', 'respond', 'website', 'saw', 'really', 'long', 'form', 'business', 'new', 'seat', 'bad']",would loved respond website saw really long form business new seat bad,0.0215909090909091,0.5803030303030303, online,39.3540335,-120.8089843,0.0
22,50, A refund and flight vouchers or another flight on a different airline at your expense for today 8 hour drive is very inconvenient,,2015-02-24 10:05:45 -0800,"Kansas City, MO",0.124,0.0,0.8759999999999999,-0.4005,"['refund', 'voucher', 'another', 'different', 'expense', 'today', 'hour', 'drive', 'inconvenient']",refund voucher another different expense today hour drive inconvenient,-0.3,0.8, refund,39.100105,-94.5781416,0.0
23,51, then why have I not received my call back its been 3 daysits an infant car seat how am I supposed to go anywhere with my child,,2015-02-24 10:00:20 -0800,,0.0,0.0,1.0,0.0,"['received', 'call', 'back', 'daysits', 'infant', 'car', 'seat', 'supposed', 'go', 'anywhere', 'child']",received call back daysits infant car seat supposed go anywhere child,0.0,0.0, loyalty_program,,,0.0
24,52, thanks again for your concern I will contact customer care upon our return from Australia,,2015-02-24 10:00:19 -0800,,0.0,0.337,0.6629999999999999,0.7269,"['thanks', 'concern', 'contact', 'customer', 'care', 'upon', 'return', 'australia']",thanks concern contact customer care upon return australia,0.2,0.2, compliment,,,0.0
25,53, well sitting on the ground on time but waiting for a gateagain tiredofthis,,2015-02-24 09:54:12 -0800,,0.0,0.124,0.8759999999999999,0.1406,"['well', 'sitting', 'ground', 'time', 'waiting', 'gateagain', 'tiredofthis']",well sitting ground time waiting gateagain tiredofthis,0.0,0.0, delay,,,0.0
26,56, A measly 50 ecertificate is not how you appreciate loyal customers after they wait 3hrs on the tarmac during UA1116 unacceptable,,2015-02-24 09:42:45 -0800,San Francisco Bay Area,0.207,0.122,0.67,-0.2865,"['measly', 'ecertificate', 'appreciate', 'loyal', 'customer', 'wait', 'hr', 'tarmac', 'unacceptable']",measly ecertificate appreciate loyal customer wait hr tarmac unacceptable,-0.11666666666666672,0.8500000000000001, delay,37.7884969,-122.3558473,0.0
27,58, Thank you for that Am I able to claim any interim expenses or is the cost of the stuff up on me,,2015-02-24 09:39:15 -0800,,0.0,0.111,0.889,0.3612,"['thank', 'able', 'claim', 'interim', 'expense', 'cost', 'stuff']",thank able claim interim expense cost stuff,0.5,0.625, compliment refund,,,0.0
28,60,  Why cant I get a boarding pass for my Austrian Airlines codeshare flight Rebook incls a 6 hour layover amp I am stuck outside sec,,2015-02-24 09:36:12 -0800,The Center of My Universe,0.095,0.0,0.905,-0.25,"['cant', 'get', 'boarding', 'pas', 'austrian', 'codeshare', 'rebook', 'incls', 'hour', 'layover', 'stuck', 'outside', 'sec']",cant get boarding pas austrian codeshare rebook incls hour layover stuck outside sec,-0.05,0.325, delay,,,0.0
29,61, I received on other flights united  truly breaks guitars unitedbreaksguitars wantmymoneyback,,2015-02-24 09:34:00 -0800,"Jerusalem, Israel",0.0,0.41600000000000004,0.584,0.6908,"['received', 'flight', 'truly', 'break', 'guitar', 'unitedbreaksguitars', 'wantmymoneyback']",received flight truly break guitar unitedbreaksguitars wantmymoneyback,0.0,0.0, baggage,31.778345,35.2250786,0.0
30,62, just flew to TelAviv paid 100 from a third suitcase which didnt even make it on the plane Besides for the impolite service,,2015-02-24 09:32:46 -0800,"Jerusalem, Israel",0.11,0.0,0.89,-0.3818,"['flew', 'telaviv', 'paid', 'third', 'suitcase', 'didnt', 'even', 'make', 'plane', 'besides', 'impolite', 'service']",flew telaviv paid third suitcase didnt even make plane besides impolite service,0.0,0.0, baggage,31.778345,35.2250786,0.0
31,63,  My bag is still in Colo Springs I am disabled and have to search an unfamiliar airport and look for my bag Not a good outcome,,2015-02-24 09:32:43 -0800,"Jacksonville, FL",0.095,0.0,0.905,-0.3412,"['bag', 'still', 'colo', 'spring', 'disabled', 'search', 'unfamiliar', 'airport', 'look', 'bag', 'good', 'outcome']",bag still colo spring disabled search unfamiliar airport look bag good outcome,0.25,0.4500000000000001, baggage,30.3321838,-81.655651,0.0
32,64, Shame that theres no flex to tickets transfer rules  Even calling from Neurosurgery ICU isnt enough,,2015-02-24 09:32:39 -0800,,0.275,0.0,0.725,-0.6486,"['shame', 'there', 'flex', 'ticket', 'transfer', 'rule', 'even', 'calling', 'neurosurgery', 'icu', 'isnt', 'enough']",shame there flex ticket transfer rule even calling neurosurgery icu isnt enough,0.0,0.5, ticketing_billing,,,0.0
33,65, No Denver said they dont handle baggage that made it to Colo Springs  They gave me an 800 number to call No help there either,,2015-02-24 09:24:12 -0800,"Jacksonville, FL",0.15,0.136,0.7140000000000001,-0.1027,"['denver', 'said', 'dont', 'handle', 'baggage', 'made', 'colo', 'spring', 'gave', 'number', 'call', 'help', 'either']",denver said dont handle baggage made colo spring gave number call help either,0.0,0.0, baggage,30.3321838,-81.655651,0.0
34,66, you guys need some serious training in customer service Too many better options to put up with the way you guys handle ur mistakes,,2015-02-24 09:22:16 -0800,,0.13699999999999998,0.105,0.758,0.0258,"['guy', 'need', 'serious', 'training', 'customer', 'service', 'many', 'better', 'option', 'put', 'way', 'guy', 'handle', 'ur', 'mistake']",guy need serious training customer service many better option put way guy handle ur mistake,0.22222222222222224,0.5555555555555555, staff,,,0.0
35,68, once he found out we had a problem he avoided me like the plague Was told we cant find a supervisor,,2015-02-24 09:19:38 -0800,,0.21600000000000003,0.106,0.6779999999999999,-0.3818,"['found', 'problem', 'avoided', 'like', 'plague', 'told', 'cant', 'find', 'supervisor']",found problem avoided like plague told cant find supervisor,0.0,0.0, staff,,,0.0
36,69, ZCC82U Cancelled Flight flight 16h in advance Need connect flight reschedule so the link isnt helping Help Gf waited months to see me,,2015-02-24 09:19:25 -0800,,0.235,0.0,0.765,-0.6305,"['zccu', 'cancelled', 'h', 'advance', 'need', 'connect', 'reschedule', 'link', 'isnt', 'helping', 'help', 'gf', 'waited', 'month', 'see']",zccu cancelled h advance need connect reschedule link isnt helping help gf waited month see,0.0,0.0, cancellation,,,0.0
37,71, in addition my first flight was delayed an hour and Im arriving at my destination 8 hrs Late Flight,,2015-02-24 09:18:49 -0800,,0.10099999999999999,0.0,0.899,-0.2263,"['addition', 'first', 'delayed', 'hour', 'arriving', 'destination', 'hr', 'late']",addition first delayed hour arriving destination hr late,-0.024999999999999998,0.4666666666666667, delay,,,0.0
38,72, Cancelled Flighted our flight didnt rebook us on added flight now have to drive from a Denver to KCthanks,,2015-02-24 09:17:43 -0800,"Kansas City, MO",0.105,0.0,0.895,-0.25,"['cancelled', 'flighted', 'didnt', 'rebook', 'u', 'added', 'drive', 'denver', 'kcthanks']",cancelled flighted didnt rebook u added drive denver kcthanks,0.0,0.0, cancellation,39.100105,-94.5781416,0.0
39,75, our travel booked thru United group dept Okc ticket agent less than willing to help with our connection in LAX,,2015-02-24 09:15:56 -0800,,0.0,0.23399999999999999,0.7659999999999999,0.6705,"['travel', 'booked', 'thru', 'group', 'dept', 'okc', 'ticket', 'agent', 'le', 'willing', 'help', 'connection', 'lax']",travel booked thru group dept okc ticket agent le willing help connection lax,0.25,0.75, staff ticketing_billing connection,,,0.0
40,78, wont transfer flight ticket to accompany an 11 yr old whos active military mom had to have emergency brain surgery WOW,,2015-02-24 09:09:00 -0800,Harrisburg,0.09300000000000001,0.26,0.647,0.6841,"['wont', 'transfer', 'ticket', 'accompany', 'yr', 'old', 'who', 'active', 'military', 'mom', 'emergency', 'brain', 'surgery', 'wow']",wont transfer ticket accompany yr old who active military mom emergency brain surgery wow,-0.008333333333333331,0.475, ticketing_billing,40.2663107,-76.8861122,0.0
41,79,  7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card 150 STARBUCKS CARD I HANDED OVER,,2015-02-24 09:08:44 -0800,Wall Street • Manhattan • NYC ,0.0,0.132,0.868,0.4404,"['week', 'late', 'flightr', 'still', 'received', 'mile', 'mileageplus', 'gift', 'card', 'starbucks', 'card', 'handed']",week late flightr still received mile mileageplus gift card starbucks card handed,-0.3,0.6, delay loyalty_program,40.7048017,-74.0069496,0.0
42,82, OKC ticket agent Roger McLarrensp LESS than helpful with our Intl group travel problems Cant find a supervisor for help,,2015-02-24 08:54:47 -0800,,0.11,0.24,0.65,0.49700000000000005,"['okc', 'ticket', 'agent', 'roger', 'mclarrensp', 'le', 'helpful', 'intl', 'group', 'travel', 'problem', 'cant', 'find', 'supervisor', 'help']",okc ticket agent roger mclarrensp le helpful intl group travel problem cant find supervisor help,0.0,0.0, staff ticketing_billing,,,0.0
43,84, another fail for the United ticket agents in OKC LESS than helpful and could care less about our problems American here we come,,2015-02-24 08:50:39 -0800,,0.179,0.278,0.5429999999999999,0.5076,"['another', 'fail', 'ticket', 'agent', 'okc', 'le', 'helpful', 'could', 'care', 'le', 'problem', 'american', 'come']",another fail ticket agent okc le helpful could care le problem american come,-0.25,0.14999999999999994, staff ticketing_billing,,,0.0
44,86, the os isnt controlled by me but rather    App is new,,2015-02-24 08:47:56 -0800,,0.0,0.0,1.0,0.0,"['o', 'isnt', 'controlled', 'rather', 'app', 'new']",o isnt controlled rather app new,0.13636363636363635,0.4545454545454545, online,,,0.0
45,87, I just sent an email to Customer Care telling them I may have to break up with you  I sincerely hope they can help me,,2015-02-24 08:42:11 -0800,,0.0,0.39799999999999996,0.602,0.8979,"['sent', 'email', 'customer', 'care', 'telling', 'may', 'break', 'sincerely', 'hope', 'help']",sent email customer care telling may break sincerely hope help,0.5,0.5, baggage,,,0.0
46,88, silly Im flying delta today Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,,2015-02-24 08:36:28 -0800,Louisville,0.17,0.14800000000000002,0.682,-0.1531,"['silly', 'flying', 'delta', 'today', 'club', 'staff', 'attendant', 'surly', 'unhelpful', 'always', 'seem', 'bothered', 'pesky', 'folk']",silly flying delta today club staff attendant surly unhelpful always seem bothered pesky folk,-0.15,0.6375, staff,38.2542376,-85.759407,0.0
47,91, why am I to believe they will help when customer service couldnt Like I said I want a number to someone who can fix what you did,,2015-02-24 08:33:01 -0800,,0.127,0.152,0.722,0.17,"['believe', 'help', 'customer', 'service', 'couldnt', 'like', 'said', 'want', 'number', 'someone', 'fix']",believe help customer service couldnt like said want number someone fix,0.0,0.0, staff,,,0.0
48,92, they helped me at the baggage service desk  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR  12,,2015-02-24 08:31:20 -0800,,0.0,0.0,1.0,0.0,"['helped', 'baggage', 'service', 'desk', 'said', 'bc', 'tsa', 'screening', 'fll', 'bag', 'made', 'bag', 'ewr']",helped baggage service desk said bc tsa screening fll bag made bag ewr,0.0,0.0, baggage,,,0.0
49,96, thx for update,,2015-02-24 08:27:37 -0800,searching for coffee,0.0,0.556,0.444,0.3612,"['thx', 'update']",thx update,0.0,0.0, compliment,,,0.0
50,97, thank you ,,2015-02-24 08:26:30 -0800,"Chicago, IL, USA",0.0,0.7140000000000001,0.28600000000000003,0.3612,['thank'],thank,0.0,0.0, compliment,41.8755616,-87.6244212,0.0
51,98, dm these nuts,,2015-02-24 08:22:52 -0800,nyc to la,0.535,0.0,0.465,-0.3182,"['dm', 'nut']",dm nut,0.0,0.0, online,55.8630335,-4.258034,0.0
52,99, Had to explain to a very over eager flight attendant trying to ask about my vision that my  was not a guide dog,,2015-02-24 08:22:52 -0800,,0.0,0.201,0.799,0.5829,"['explain', 'eager', 'attendant', 'trying', 'ask', 'vision', 'guide', 'dog']",explain eager attendant trying ask vision guide dog,0.2,0.4, staff,,,0.0
53,100, whats the point of asking for details about a servicedog when you book if your flight crew doesnt read them Continued,,2015-02-24 08:22:08 -0800,,0.0,0.0,1.0,0.0,"['whats', 'point', 'asking', 'detail', 'servicedog', 'book', 'crew', 'doesnt', 'read', 'continued']",whats point asking detail servicedog book crew doesnt read continued,0.0,0.0, staff,,,0.0
54,101, I tried but no one was available in bogota and everyone was rude in Houston I was stuck for 35 hours because of you guys,,2015-02-24 08:10:10 -0800,,0.317,0.0,0.6829999999999999,-0.8519,"['tried', 'one', 'available', 'bogota', 'everyone', 'rude', 'houston', 'stuck', 'hour', 'guy']",tried one available bogota everyone rude houston stuck hour guy,0.05000000000000002,0.5, delay,,,0.0
55,102, worst2unitedflightsever UA 236 LAS to IAD 224 mechanical problems again  took off  had to land for fix  delayed again wtfodds,,2015-02-24 08:04:41 -0800,,0.204,0.0,0.7959999999999999,-0.5574,"['worstunitedflightsever', 'la', 'iad', 'mechanical', 'problem', 'took', 'land', 'fix', 'delayed', 'wtfodds']",worstunitedflightsever la iad mechanical problem took land fix delayed wtfodds,0.0,0.0, delay,,,0.0
56,103, despite my bag not making it to Newark good informative email tracking updates help,,2015-02-24 08:04:36 -0800,,0.0,0.318,0.682,0.6808,"['despite', 'bag', 'making', 'newark', 'good', 'informative', 'email', 'tracking', 'update', 'help']",despite bag making newark good informative email tracking update help,0.7,0.6000000000000001, baggage,,,0.0
57,104, Whats going on with UA 236  outbound flight last thurs was delayed 4hrs How long will this delay be worst2unitedflightsever,,2015-02-24 08:03:25 -0800,"Washington, D.C. Metro Area",0.201,0.0,0.799,-0.5461,"['whats', 'going', 'outbound', 'last', 'thurs', 'delayed', 'hr', 'long', 'delay', 'worstunitedflightsever']",whats going outbound last thurs delayed hr long delay worstunitedflightsever,-0.025,0.2333333333333333, delay,,,0.0
58,105, worst2unitedflightsever UA1429 IAD to LAS 219 mechanical problems  switched aircraft delayed 35 hours,,2015-02-24 08:01:21 -0800,,0.295,0.0,0.705,-0.5574,"['worstunitedflightsever', 'iad', 'la', 'mechanical', 'problem', 'switched', 'aircraft', 'delayed', 'hour']",worstunitedflightsever iad la mechanical problem switched aircraft delayed hour,0.0,0.0, delay,,,0.0
59,108, thanks for the info I already knew,,2015-02-24 07:53:02 -0800,Connecticut,0.0,0.36700000000000005,0.633,0.4404,"['thanks', 'info', 'already', 'knew']",thanks info already knew,0.2,0.2, compliment,41.6500201,-72.7342163,0.0
60,109, Airline trouble this winter amp not getting good customer service contact   we negotiate resolutions for You,,2015-02-24 07:52:18 -0800,"Miami, New York, Boston",0.267,0.0,0.733,-0.6256,"['trouble', 'winter', 'getting', 'good', 'customer', 'service', 'contact', 'negotiate', 'resolution']",trouble winter getting good customer service contact negotiate resolution,0.25,0.4, staff,,,0.0
61,110, on 768 to Logan  boarding gong show due to lax carry on enforcement Bins full of coats  no room for bags U need a better system,,2015-02-24 07:52:03 -0800,"Seaside, California",0.081,0.107,0.812,0.1779,"['logan', 'boarding', 'gong', 'show', 'due', 'lax', 'carry', 'enforcement', 'bin', 'full', 'coat', 'room', 'bag', 'need', 'better', 'system']",logan boarding gong show due lax carry enforcement bin full coat room bag need better system,0.2416666666666667,0.475, baggage,36.6258085,-121.817035888794,0.0
62,111, Thank you,,2015-02-24 07:51:33 -0800,"new york, baby",0.0,0.7140000000000001,0.28600000000000003,0.3612,['thank'],thank,0.0,0.0, compliment,41.4113877,-74.1047439,0.0
63,112, Blackmailed me into paying 130 extra or having my return ticket nullified in San Francisco Airport Terrible service from rep scam,,2015-02-24 07:49:10 -0800,,0.264,0.0,0.736,-0.7783,"['blackmailed', 'paying', 'extra', 'return', 'ticket', 'nullified', 'san', 'francisco', 'airport', 'terrible', 'service', 'rep', 'scam']",blackmailed paying extra return ticket nullified san francisco airport terrible service rep scam,-0.5,0.55, ticketing_billing,,,0.0
64,113, is there an email address I can reach Too long for a DM,,2015-02-24 07:44:14 -0800,Canada,0.0,0.099,0.9009999999999999,0.0258,"['email', 'address', 'reach', 'long', 'dm']",email address reach long dm,-0.05,0.4, online,61.0666922,-107.9917071,0.0
65,114, disappointed that u didnt honor my 100 credit given to me for ur mistakes Taking my business elsewhere  out,,2015-02-24 07:43:05 -0800,NYC,0.331,0.105,0.564,-0.6836,"['disappointed', 'didnt', 'honor', 'credit', 'given', 'ur', 'mistake', 'taking', 'business', 'elsewhere']",disappointed didnt honor credit given ur mistake taking business elsewhere,-0.75,0.75, ticketing_billing,40.7127281,-74.0060152,0.0
66,115, ua1673 still waiting Supposed to depart 908,,2015-02-24 07:42:36 -0800,Midwest,0.0,0.0,1.0,0.0,"['still', 'waiting', 'supposed', 'depart']",still waiting supposed depart,0.0,0.0, delay,43.411391,-106.280075,0.0
67,116, it was credit from my last trip that never came in the mail,,2015-02-24 07:41:00 -0800,,0.0,0.17800000000000002,0.8220000000000001,0.3818,"['credit', 'last', 'trip', 'never', 'came', 'mail']",credit last trip never came mail,0.0,0.06666666666666668, ticketing_billing,,,0.0
68,117, ok its now been 7 months waiting to hear from airline I gave them quite a bit more than the 30 days requested Terrible service,,2015-02-24 07:40:45 -0800,"Marlow, UK",0.12300000000000001,0.087,0.7909999999999999,-0.2263,"['ok', 'month', 'waiting', 'hear', 'gave', 'quite', 'bit', 'day', 'requested', 'terrible', 'service']",ok month waiting hear gave quite bit day requested terrible service,-0.25,0.75, delay,51.5718668,-0.77695,0.0
69,118, does this process ever end Still waiting for the reply since 2 months pathetic customerservice,,2015-02-24 07:36:54 -0800,,0.222,0.0,0.778,-0.5719,"['process', 'ever', 'end', 'still', 'waiting', 'reply', 'since', 'month', 'pathetic', 'customerservice']",process ever end still waiting reply since month pathetic customerservice,-1.0,1.0, staff delay,,,0.0
70,119, Whats going on with your website Im Flight Booking Problems three tickets today and Ive been booted off the system umpteen times,,2015-02-24 07:35:09 -0800,"Summit, NJ",0.114,0.0,0.8859999999999999,-0.4019,"['whats', 'going', 'website', 'booking', 'problem', 'three', 'ticket', 'today', 'ive', 'booted', 'system', 'umpteen', 'time']",whats going website booking problem three ticket today ive booted system umpteen time,0.0,0.0, ticketing_billing online,40.7182356,-74.3592296,0.0
71,120, how do I get my account number if your website says email is unavailable,,2015-02-24 07:31:48 -0800,NYC,0.0,0.098,0.902,0.0772,"['get', 'account', 'number', 'website', 'say', 'email', 'unavailable']",get account number website say email unavailable,0.0,0.0, online,40.7127281,-74.0060152,0.0
72,122, I received 1 bag last night I am still missing the other one,,2015-02-24 07:20:21 -0800,"Hoops City (Memphis, TN)",0.196,0.0,0.804,-0.29600000000000004,"['received', 'bag', 'last', 'night', 'still', 'missing', 'one']",received bag last night still missing one,-0.1,0.05833333333333333, baggage,,,0.0
73,124, Pls Help Baby Hannah get the life saving surgeries she requiresShe needs your helpPls Donate ,,2015-02-24 07:09:46 -0800,Right Now Mostly The Hospital,0.0,0.235,0.765,0.4588,"['pls', 'help', 'baby', 'hannah', 'get', 'life', 'saving', 'surgery', 'requiresshe', 'need', 'helppls', 'donate']",pls help baby hannah get life saving surgery requiresshe need helppls donate,0.0,0.0, loyalty_program,,,0.0
74,126, 2nd flight also delayed no pilots But they boarded is so we can just sit here scheduling,,2015-02-24 07:02:12 -0800,Midwest,0.16899999999999998,0.0,0.831,-0.2617,"['nd', 'also', 'delayed', 'pilot', 'boarded', 'sit', 'scheduling']",nd also delayed pilot boarded sit scheduling,0.0,0.0, staff delay,43.411391,-106.280075,0.0
75,146, so youre telling me there is no number to call after being left in an airport because of a negligent pilot and staff,,2015-02-24 06:29:54 -0800,,0.094,0.055,0.851,-0.2263,"['youre', 'telling', 'number', 'call', 'left', 'airport', 'negligent', 'pilot', 'staff']",youre telling number call left airport negligent pilot staff,0.0,0.0, staff,,,0.0
76,150, 25 United coupon to make up for broken entertainment system on a 9hour flight seriously Ridiculousness learncustomerservice,,2015-02-24 06:14:14 -0800,,0.294,0.23800000000000002,0.46799999999999997,-0.0772,"['coupon', 'make', 'broken', 'entertainment', 'system', 'hour', 'seriously', 'ridiculousness', 'learncustomerservice']",coupon make broken entertainment system hour seriously ridiculousness learncustomerservice,-0.3666666666666667,0.5333333333333333, staff,,,0.0
