,text,tweet_coord,tweet_created,tweet_location
68, once he found out we had a problem he avoided me like the plague Was told we cant find a supervisor,,2015-02-24 09:19:38 -0800,
69, ZCC82U Cancelled Flight flight 16h in advance Need connect flight reschedule so the link isnt helping Help Gf waited months to see me,,2015-02-24 09:19:25 -0800,
70, I will not be flying you again,,2015-02-24 09:19:24 -0800,
71, in addition my first flight was delayed an hour and Im arriving at my destination 8 hrs Late Flight,,2015-02-24 09:18:49 -0800,
72, Cancelled Flighted our flight didnt rebook us on added flight now have to drive from a Denver to KCthanks,,2015-02-24 09:17:43 -0800,"Kansas City, MO"
73, your announcement for pre boarding only addresses mobility My disability requires me to travel with a lot of stuff Do I preboard,,2015-02-24 09:17:05 -0800,
74, I flew United last month and the experience was AWESOME,,2015-02-24 09:16:31 -0800,
75, our travel booked thru United group dept Okc ticket agent less than willing to help with our connection in LAX,,2015-02-24 09:15:56 -0800,
76, v upset with your disability  services When I told one of your employees I was carrying medical equipment she was very rude,,2015-02-24 09:15:11 -0800,
77, thnx for quick reply but dont think you can assist Our intl grp will be put to considerable inconvenience today,,2015-02-24 09:14:01 -0800,
78, wont transfer flight ticket to accompany an 11 yr old whos active military mom had to have emergency brain surgery WOW,,2015-02-24 09:09:00 -0800,Harrisburg
79,  7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card 150 STARBUCKS CARD I HANDED OVER,,2015-02-24 09:08:44 -0800,Wall Street • Manhattan • NYC 
80, as a 1k Im always hoping for improvement,,2015-02-24 09:08:27 -0800,
81, not yet I complained about the guy who checked my luggage in as he was throwing the bags around Unfortunate coincidence I hope,"[52.59657643, -2.19877833]",2015-02-24 09:04:00 -0800,
82, OKC ticket agent Roger McLarrensp LESS than helpful with our Intl group travel problems Cant find a supervisor for help,,2015-02-24 08:54:47 -0800,
83, mobile apps need construction from the ground up for each OS category  Its expensive to get right ,,2015-02-24 08:54:34 -0800,
84, another fail for the United ticket agents in OKC LESS than helpful and could care less about our problems American here we come,,2015-02-24 08:50:39 -0800,
85, 441 which also had 1 working WC in coach Good thing this bird landed ahead of schedule I have to use the WC stat,,2015-02-24 08:49:03 -0800,Austin · LA · London · NY · SF
86, the os isnt controlled by me but rather    App is new,,2015-02-24 08:47:56 -0800,
87, I just sent an email to Customer Care telling them I may have to break up with you  I sincerely hope they can help me,,2015-02-24 08:42:11 -0800,
88, silly Im flying delta today Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,,2015-02-24 08:36:28 -0800,Louisville
89, What is your phone number I cant find who to call about a flight reservation,,2015-02-24 08:34:05 -0800,"Sterling Heights, MI"
90, well you cant fix me missing my buddies 30th bday because of negligence but you can attempt to make up for it,,2015-02-24 08:33:43 -0800,
91, why am I to believe they will help when customer service couldnt Like I said I want a number to someone who can fix what you did,,2015-02-24 08:33:01 -0800,
92, they helped me at the baggage service desk  Said bc TSA screening was down in FLL not all bags made it but bag will be in EWR  12,,2015-02-24 08:31:20 -0800,
93, Mobile boarding pass disappeared from phone while standing in line to board Second time this week Hmm,,2015-02-24 08:31:05 -0800,"Steamboat Springs, CO"
94, for the record Rozana at Newark was lovely and helpful choosekind,,2015-02-24 08:29:49 -0800,btv
95, It was last nights 1235ORDLGA,,2015-02-24 08:29:06 -0800,Above the B/D/N/Q/R/2/3/4/5
96, thx for update,,2015-02-24 08:27:37 -0800,searching for coffee
97, thank you ,,2015-02-24 08:26:30 -0800,"Chicago, IL, USA"
98, dm these nuts,,2015-02-24 08:22:52 -0800,nyc to la
99, Had to explain to a very over eager flight attendant trying to ask about my vision that my  was not a guide dog,,2015-02-24 08:22:52 -0800,
100, whats the point of asking for details about a servicedog when you book if your flight crew doesnt read them Continued,,2015-02-24 08:22:08 -0800,
101, I tried but no one was available in bogota and everyone was rude in Houston I was stuck for 35 hours because of you guys,,2015-02-24 08:10:10 -0800,
102, worst2unitedflightsever UA 236 LAS to IAD 224 mechanical problems again  took off  had to land for fix  delayed again wtfodds,,2015-02-24 08:04:41 -0800,
103, despite my bag not making it to Newark good informative email tracking updates help,,2015-02-24 08:04:36 -0800,
104, Whats going on with UA 236  outbound flight last thurs was delayed 4hrs How long will this delay be worst2unitedflightsever,,2015-02-24 08:03:25 -0800,"Washington, D.C. Metro Area"
105, worst2unitedflightsever UA1429 IAD to LAS 219 mechanical problems  switched aircraft delayed 35 hours,,2015-02-24 08:01:21 -0800,
106, crashed trying to check in,,2015-02-24 07:58:58 -0800,
107, Wow What a deal Again 30 plus seats available Easy change to make a customer happy,,2015-02-24 07:58:40 -0800,"Richmond, VA"
108, thanks for the info I already knew,,2015-02-24 07:53:02 -0800,Connecticut
109, Airline trouble this winter amp not getting good customer service contact   we negotiate resolutions for You,,2015-02-24 07:52:18 -0800,"Miami, New York, Boston"
110, on 768 to Logan  boarding gong show due to lax carry on enforcement Bins full of coats  no room for bags U need a better system,,2015-02-24 07:52:03 -0800,"Seaside, California"
111, Thank you,,2015-02-24 07:51:33 -0800,"new york, baby"
112, Blackmailed me into paying 130 extra or having my return ticket nullified in San Francisco Airport Terrible service from rep scam,,2015-02-24 07:49:10 -0800,
113, is there an email address I can reach Too long for a DM,,2015-02-24 07:44:14 -0800,Canada
114, disappointed that u didnt honor my 100 credit given to me for ur mistakes Taking my business elsewhere  out,,2015-02-24 07:43:05 -0800,NYC
115, ua1673 still waiting Supposed to depart 908,,2015-02-24 07:42:36 -0800,Midwest
116, it was credit from my last trip that never came in the mail,,2015-02-24 07:41:00 -0800,
117, ok its now been 7 months waiting to hear from airline I gave them quite a bit more than the 30 days requested Terrible service,,2015-02-24 07:40:45 -0800,"Marlow, UK"
118, does this process ever end Still waiting for the reply since 2 months pathetic customerservice,,2015-02-24 07:36:54 -0800,
119, Whats going on with your website Im Flight Booking Problems three tickets today and Ive been booted off the system umpteen times,,2015-02-24 07:35:09 -0800,"Summit, NJ"
120, how do I get my account number if your website says email is unavailable,,2015-02-24 07:31:48 -0800,NYC
121, So do I need to book two one ways in order for her to fly as an unaccompanied minor,,2015-02-24 07:26:11 -0800,"Princeton, NJ"
122, I received 1 bag last night I am still missing the other one,,2015-02-24 07:20:21 -0800,"Hoops City (Memphis, TN)"
123,  youll need to upgrade the seats too even in economy plus its like sitting on a concrete bench,,2015-02-24 07:13:15 -0800,Europe
124, Pls Help Baby Hannah get the life saving surgeries she requiresShe needs your helpPls Donate ,,2015-02-24 07:09:46 -0800,Right Now Mostly The Hospital
125, bet you wont honour them like mine ey,,2015-02-24 07:03:40 -0800,Manchester
126, 2nd flight also delayed no pilots But they boarded is so we can just sit here scheduling,,2015-02-24 07:02:12 -0800,Midwest
127, I guess thats too much ask huh,"[29.98386923, -95.33729612]",2015-02-24 06:58:04 -0800,Seattle
128, but its hard to stay upset at someone when they at least TRY to show remorse,"[29.98340611, -95.33682231]",2015-02-24 06:57:44 -0800,Seattle
129, By the way a simple apology goes a long way even if its a hollow one Its obvious that you dont care about me or my wellbeing,"[29.98350019, -95.33675519]",2015-02-24 06:57:14 -0800,Seattle
130, This isnt a one time thing either Its a shocking pattern of repeated neglect and disrespect,"[29.98377529, -95.33756559]",2015-02-24 06:55:59 -0800,Seattle
131, Fingers crossed amp its all intact Very disappointed with this experience as before this we were actually saying we enjoyed using you,,2015-02-24 06:55:56 -0800,
132, Its an incredibly easy fix but you would rather stay in your comfort zone while I get forced out of mine,"[29.98350283, -95.33678993]",2015-02-24 06:54:45 -0800,Seattle
133, ours in July You have ZERO excuses for this You have an outofdate system that causes problems like this,"[29.98384925, -95.3374653]",2015-02-24 06:53:59 -0800,Seattle
134, Everyone around us is sitting with their friends and family members They booked their tickets in October and December We bought,"[29.98372726, -95.33734532]",2015-02-24 06:53:12 -0800,Seattle
135, Not sure what you are talking about She is going on nonstop flights SNA to SFO and then SFO to EWR,,2015-02-24 06:52:09 -0800,"Princeton, NJ"
136, it will be because Im moving to  because of  talk no service,,2015-02-24 06:51:49 -0800,"Chicago, IL"
137, please be good to me this weekend,,2015-02-24 06:44:10 -0800,Kansas
138, I asked a legitimate question about systemwide vs localized problems and got back an unreLate Flightd copypaste You can do better,,2015-02-24 06:43:55 -0800,Above the B/D/N/Q/R/2/3/4/5
139, what time Who can I call I need my skis I will go to the airport and get them No more faith in United,,2015-02-24 06:43:24 -0800,New Jersey
140, I see you guys are at it again Amazing how one company continually makes mistakes yet fails to be held accountable for their error,,2015-02-24 06:43:11 -0800,Global
141, A Tourist Wonder Super Tides and Tide of the Century at French and UK coasts ,,2015-02-24 06:36:20 -0800,Luxembourg
142, Yeah sorry but theres always a problem with United And you have an international reputation for having problems,,2015-02-24 06:33:35 -0800,. 
143, yall should probably work on that,,2015-02-24 06:33:05 -0800,. 
144, but then again maybe the SDKSIA would care more to hear what went on than whoever listens to issues you caused,,2015-02-24 06:32:43 -0800,
145, I wonder if sharing all this on FB and insta would produce a number 140 characters really limits my story telling,,2015-02-24 06:31:17 -0800,
146, so youre telling me there is no number to call after being left in an airport because of a negligent pilot and staff,,2015-02-24 06:29:54 -0800,
147, Could this email be resent as it doesnt appear to have arrived,,2015-02-24 06:27:10 -0800,Larne
148, yes please Trying to get to POP in Newark now,,2015-02-24 06:22:01 -0800,btv
149, you have to follow me in order for me to DMcome on now,,2015-02-24 06:18:06 -0800,
150, 25 United coupon to make up for broken entertainment system on a 9hour flight seriously Ridiculousness learncustomerservice,,2015-02-24 06:14:14 -0800,
151, So they didnt drop my bag overnight amp now Im leaving for a week This is why you were supposed to hold on to the bag,,2015-02-24 06:12:23 -0800,"Boulder, CO"
152, I did DM the details but still no response I have to book today,,2015-02-24 06:08:19 -0800,"Princeton, NJ"
153, I know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours ,,2015-02-24 06:04:03 -0800,
154, can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ,,2015-02-24 05:53:23 -0800,
155, not able to DM you my confirmation number,,2015-02-24 05:44:06 -0800,
156, Ive sent the message let me know if you got it Im not very twitterliterate Also is he REALLY going to be stuck for 18hrs,,2015-02-24 05:42:16 -0800,
157, very unhappy at no response to complaint emailed on 2nd Feb ref8441639 Awful customer service,,2015-02-24 05:38:03 -0800,Larne
158, DM does not work what do I do,,2015-02-24 05:35:10 -0800,
159, private jet would have been cool Do does not work Ill try again,,2015-02-24 05:32:23 -0800,
160, we were not given the option of using our United TravelBank in a recent Flight Booking Problems Any help in using or recouping these funds Thanks,,2015-02-24 05:22:48 -0800,Southern California
161, common keep your paper work ready and dont delay our flights1585and meetings ,,2015-02-24 05:21:04 -0800,"Chicago, IL, USA"
162, how about 3659 YULORD,,2015-02-24 05:19:05 -0800,
163, yep thats correct I got an email at 1230 am that the flight was Cancelled Flightled doesnt matter now flight into atl is delayed thx,,2015-02-24 05:17:43 -0800,
164, 1k and had problem getting out of FLL to IAH  sent DM to you about making my connection  please let me know,,2015-02-24 05:14:27 -0800,
165, Done and done,,2015-02-24 05:11:49 -0800,
166, thanks just sent ,,2015-02-24 05:06:04 -0800,searching for coffee
167, Im grounded in Montreal with ua3659 I am missing my connection ua3417 to St Louis Can you helpDo you have a private jet for me,,2015-02-24 04:57:30 -0800,
168, Im so frustrated and nervous because of this,"[29.98521945, -90.25215941]",2015-02-24 04:53:36 -0800,Seattle
169, are the ones who make it difficult for me,"[29.98698389, -90.25081767]",2015-02-24 04:52:56 -0800,Seattle
170, Im not a child Im someone who has an issue with flying and prepares ahead of time to reduce the distress caused by planes You,"[29.98699328, -90.25081691]",2015-02-24 04:52:36 -0800,Seattle
171, how does it get Cancelled Flightled 10 hours before take off,,2015-02-24 04:46:55 -0800,
172, This ALWAYS happens with you guys and it makes traveling incredibly stressful and uncomfortable Is that good business to you,"[29.98878092, -90.25836915]",2015-02-24 04:40:55 -0800,Seattle
173, So what does someone with severe anxiety do when the one person who can help him isnt next to him,"[29.9880285, -90.25781369]",2015-02-24 04:39:51 -0800,Seattle
174, Im seeking to go 2 client Bc u cant get me there I need refund I filled out form not confident it works if past is an indication,,2015-02-24 04:37:08 -0800,
175,Thnx for the response  bot It seems this improvement could be easily attained Is your 1st Class service really only worth 50,,2015-02-24 04:24:33 -0800,Brooklyn
176, has unrivalled access to California with flights to the US from 7 UK airports with nonstop or onestop connections yearround,,2015-02-24 04:20:21 -0800,Glasgow
177, booked award tix on ThaiAirways but Im not seeing a conf for them just the United Flight Booking Problems Can you get get the Thai for me,,2015-02-24 04:19:55 -0800,searching for coffee
178, Luckily I made my flights this time but was so disappointed with the lack of communication ,,2015-02-24 03:51:35 -0800,
179, checking to see why flight 3466 atlord got Cancelled Flighted,,2015-02-24 03:50:10 -0800,
180, service so far has been horrid We wanted to end the trip on a high note Guess thats not an option,"[29.987463, -90.25860012]",2015-02-24 03:49:47 -0800,Seattle
181, Booked a flight home over 7 months ago and requested seats together for my fiance and I We got 2 middle seats UNACCEPTABLE The,"[29.98746669, -90.25862007]",2015-02-24 03:49:10 -0800,Seattle
182, YOU GUYS ARE HORRIBLE,,2015-02-24 03:47:51 -0800,nyc to la
183, thnx for the info,"[35.8057062, -78.7869445]",2015-02-24 03:46:13 -0800,Alphen aan den Rijn
184, Why do I have to pay  17 for wifi with an international business ticket  pennypincher,,2015-02-24 03:42:48 -0800,
185, ok To top things off youve lost my luggage Could you get ANY worse UnitedAirlines,"[52.48854137, -1.91022836]",2015-02-24 03:37:16 -0800,
186, kudos for not Cancelled Flightling flights from DFW this morning   United usually first to panic,,2015-02-24 03:29:22 -0800,
187, AND my luggage has been broken youcouldntmakethis up brokenwheel,,2015-02-24 03:26:30 -0800,London baby
188, is flight 587 from DFW to ORD currently ontime I see an advisory that DFW may be affected by weather,,2015-02-24 03:22:14 -0800,
189, maybe one day youll be the one quoted on ,,2015-02-24 03:11:19 -0800,
190, flight delayedno one remembered to turn the heat on flight 559 leaving ORDseriously,,2015-02-24 03:05:06 -0800,Midwest
191, another awesome new plane flight 1584 and extremely nice Captain Steve Connolly,,2015-02-24 03:02:44 -0800,
192, to speak to a real person to get this resolved politely and efficiently 22,,2015-02-24 02:57:49 -0800,Nottingham
193, I hadnt filed a refund claim as I was told there was no charge by your DM This is disputed by my bank hence why I would like12,,2015-02-24 02:57:27 -0800,Nottingham
194, did  bags make it on the flight out of iad second day without clothes is pretty inconvenient Were pretty curious UnitedAirlines,,2015-02-24 02:56:50 -0800,"mentor, Ohio"
195, Every United flight between Saipan and Guam is an adventure You never know when s old plane will be operational ,,2015-02-24 02:55:44 -0800,"Saipan, MP"
196, hence why Ive been asking for the customer service phone number so I can speak to a real person to get this sorted out,,2015-02-24 02:55:36 -0800,Nottingham
197, did our bags leave Washington yet That would be convenient seeing as we left there a day ago UnitedAirlines lostluggage,,2015-02-24 02:47:12 -0800,"mentor, Ohio"
198, so if Im flying 1st class just one leg to Chicago but not on my long flight to China am I still able to use the lounge in Chicago,,2015-02-24 02:46:32 -0800,
199, according to your DMs Im not owed a refund please may I be provided with a contact number before I go to my bank to file claim,,2015-02-24 02:33:12 -0800,Nottingham
200, about 3 hours ago I need to work out if my bag can make it to my hotel here in time or if it will need to go elsewhere,,2015-02-24 02:16:53 -0800,
201, Okay thank you,,2015-02-24 02:14:18 -0800,
202, Ive filed the claim but have no way of calling for updates Is there another way to do this,,2015-02-24 02:09:44 -0800,
203, pls properly train your agents Requested to speak to 1k customer service amp was transferred to a dead end Not even open at this hr,,2015-02-24 02:08:08 -0800,Seoul City to LA
204, Thanks for remembering to load my bag onto my connecting flight Oh wait you forgot Iceland should be fun with no clothes,,2015-02-24 01:56:45 -0800,
205, Thank you for the cheese platter and abundance of entertainment options Time just flew by,,2015-02-24 01:56:17 -0800,"New York City, NY"
206, customer service is atrocious You have disrupted my travel plans you have lost my luggage and it is impossible to TALK TO A HUMAN,,2015-02-24 01:55:40 -0800,"iPhone: 55.946030,-3.189382"
207, terminal at MIA should have food open before 5am esp when there are flights at 6am Two hours early like recommended Cant eat,,2015-02-24 01:54:10 -0800,New York
208, it was UA flight 1001 Now Im currently stuck in Portland because I missed my ride because of the 3 hour delay GetMartyHome,"[45.58711296, -122.58038932]",2015-02-24 01:22:12 -0800,
209, has not responded to my various requests for contact numbers does anyone know the UK customer service number for UnitedAirlines,,2015-02-24 01:22:06 -0800,Nottingham
210, how we looking on getting those bags to Lusaka,,2015-02-24 00:51:43 -0800,"mentor, Ohio"
211, Could you update me on the suitcase please The online and phone tracking told me nothing I was told Id have it back yesterday,,2015-02-24 00:48:01 -0800,
212, thank you Been trying for two days to set this up,,2015-02-24 00:44:42 -0800,
213, just 1 last thing U guys shouldnt be charging  for drinks on a transatlantic flight,,2015-02-24 00:31:03 -0800,bonkers in Yonkers
214, LHR arrival lounge fail Waited 20 mins for shower then left to find hotel U know how many passengers u carry Planning,,2015-02-24 00:23:42 -0800,Vancouver BC
215, Any luck with finalizing my reservation I DMd information to you Please let me know what else you need Want to confirm ASAP Thx,,2015-02-24 00:18:04 -0800,
216, completed form but doubt its any use UA doesnt care 6 day vacation will now be 5 Sure UA wont feel responsibility for that,,2015-02-23 23:55:18 -0800,
217, Definitely a compliment I really thought my bag was lost after it was sent on to another airport In the end I am a happy customer,"[59.38247253, 18.00789007]",2015-02-23 23:42:44 -0800,"Stockholm, Sweden "
218, thanx so much You followed through and emailed me a 1000 ticket voucher unitedairlines they do care,,2015-02-23 23:28:00 -0800,bonkers in Yonkers
219, this will definitely be a trip to remember EWRSTI second of the season first on seat 35A because it pays to be loyal,,2015-02-23 23:22:33 -0800,"Madison, NJ"
220, nope they told us it was time for them to go home and to sleep at the airport Even though they assured us we would get a room,,2015-02-23 23:21:39 -0800,CORGaming@cellucor.com
221, keep me updated Let me know that the bags make the flight to jburg,,2015-02-23 23:20:45 -0800,"mentor, Ohio"
222, back for the expensive holiday he worked all year to pay for that you RUINED We want compensation amp his original case back,,2015-02-23 23:14:05 -0800,"Brighton, UK
"
223, thanks United I understand that But he would actually like his own bag back What have you done with it He also wants the money,,2015-02-23 23:13:15 -0800,"Brighton, UK
"
224, frankly worse customer service ever Problems will happen how you deal defines a company Never again United,,2015-02-23 23:01:11 -0800,
225, Its still a valid flight Just seems strange to delay for Late Flight inbound crew  7 hours from now when the plane is already here,,2015-02-23 22:58:10 -0800,"All over, but mostly NorCal"
226, Thanks for the lack of help and the canned response from the 1K desk,,2015-02-23 22:57:50 -0800,
227,   Its too bad UA has had another unforeseeable operational issue on my return flight,,2015-02-23 22:57:35 -0800,
228, I would like to know whats going on before his current flight lands,,2015-02-23 22:57:20 -0800,
229, if I pay you 25 and 35 for my luggage to be delivered when I arrive Why should I have to wait 3 additional days for its delivery,,2015-02-23 22:54:32 -0800,New Jersey
230, so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we cant leave FAIL,,2015-02-23 22:38:03 -0800,"Ottawa, Canada"
231, you are one great airline ,,2015-02-23 22:35:55 -0800,
232, Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs What is your logic And WHY Am I writing to a Machine Human HELP required,"[0.0, 0.0]",2015-02-23 22:31:45 -0800,Huntsville AL USA
233,   We dont like to hear you had a poor experience Please share details wour Customer Care team ,,2015-02-23 22:31:26 -0800,"Ottawa, Canada"
234, no Cancelled Flightn just left us to fend for ourselves when flt came in Late Flight Getting runaround for 3 hrs Each employee blaming  previous 1,,2015-02-23 22:27:18 -0800,
235, This is NOT a local UNITED number for Malaysia   0011 80055558000 What is your local United Airlines here in Kuala Lumpur  KUL ,"[0.0, 0.0]",2015-02-23 22:24:11 -0800,Huntsville AL USA
236, okay ase24766m Find our luggage,,2015-02-23 22:23:28 -0800,New Jersey
237, The agent that met us at the gate said any issues wdelays on UA1116 would have to be taken up online,,2015-02-23 22:22:53 -0800,San Francisco Bay Area
238, I send you an urgent message via eservicecom  BG0KWM   Narayanan Please respond ASAP Also NO local United Tel   KUL,"[0.0, 0.0]",2015-02-23 22:21:36 -0800,Huntsville AL USA
239, thanks Will you guys be getting the A380s anytime soon,,2015-02-23 22:19:17 -0800,
